Borough,Inner,Status,Local authority,Political control,Headquarters,Area (sq mi),Population (2013 est),Nr. in map,Latitude,Longitude
Barking and Dagenham,,,Barking and Dagenham London Borough Council,Labour,"Town Hall,1 Town Square",13.93,"194,352",25,51.5607,0.1557
Barnet,,,Barnet London Borough Council,Conservative,"North London Business Park,Oakleigh Road South",33.49,"369,088",31,51.6252,-0.1517
Bexley,,,Bexley London Borough Council,Conservative,"Civic Offices,2 Watling Street",23.38,"236,687",23,51.4549,0.1505
Brent,,,Brent London Borough Council,Labour,"Brent Civic Centre,Engineers Way",16.7,"317,264",12,51.5588,-0.2817
Bromley,,,Bromley London Borough Council,Conservative,"Civic Centre,Stockwell Close",57.97,"317,899",20,51.4039,0.0198
Camden,Y,,Camden London Borough Council,Labour,"Camden Town Hall,Judd Street",8.4,"229,719",11,51.5290,-0.1255
Croydon,,,Croydon London Borough Council,Labour,"Bernard Weatherill House,Mint Walk",33.41,"372,752",19,51.3714,-0.0977
Ealing,,,Ealing London Borough Council,Labour,"Perceval House,14-16 Uxbridge Road",21.44,"342,494",13,51.5130,-0.3089
Enfield,,,Enfield London Borough Council,Labour,"Civic Centre,Silver Street",31.74,"320,524",30,51.6538,-0.0799
Greenwich,Y,Royal,Greenwich London Borough Council,Labour,"Woolwich Town Hall,Wellington Street",18.28,"264,008",22,51.4892,0.0648
Hackney,Y,,Hackney London Borough Council,Labour,"Hackney Town Hall,Mare Street",7.36,"257,379",9,51.5450,-0.0553
Hammersmith and Fulham,Y,,Hammersmith and Fulham London Borough Council,Labour,"Town Hall,King Street",6.33,"178,685",4,51.4927,-0.2339
Haringey,,,Haringey London Borough Council,Labour,"Civic Centre,High Road",11.42,"263,386",29,51.6000,-0.1119
Harrow,,,Harrow London Borough Council,Labour,"Civic Centre,Station Road",19.49,"243,372",32,51.5898,-0.3346
Havering,,,Havering London Borough Council,Conservative (council NOC),"Town Hall,Main Road",43.35,"242,080",24,51.5812,0.1837
Hillingdon,,,Hillingdon London Borough Council,Conservative,"Civic Centre,High Street",44.67,"286,806",33,51.5441,-0.4760
Hounslow,,,Hounslow London Borough Council,Labour,"Civic Centre,Lampton Road",21.61,"262,407",14,51.4746,-0.3680
Islington,Y,,Islington London Borough Council,Labour,"Municipal Offices,222 Upper Street",5.74,"215,667",10,51.5416,-0.1022
Kensington and Chelsea,Y,Royal,Kensington and Chelsea London Borough Council,Conservative,"The Town Hall,Hornton Street",4.68,"155,594",3,51.5020,-0.1947
Kingston upon Thames,,Royal,Kingston upon Thames London Borough Council,Liberal Democrat,"Guildhall,High Street",14.38,"166,793",16,51.4085,-0.3064
Lambeth,Y,,Lambeth London Borough Council,Labour,"Lambeth Town Hall,Brixton Hill",10.36,"314,242",6,51.4607,-0.1163
Lewisham,Y,,Lewisham London Borough Council,Labour,"Town Hall,1 Catford Road",13.57,"286,180",21,51.4452,-0.0209
Merton,,,Merton London Borough Council,Labour,"Civic Centre,London Road",14.52,"203,223",17,51.4014,-0.1958
Newham,,,Newham London Borough Council,Labour,"Newham Dockside,1000 Dockside Road",13.98,"318,227",27,51.5077,0.0469
Redbridge,,,Redbridge London Borough Council,Labour,"Town Hall,128-142 High Road",21.78,"288,272",26,51.5590,0.0741
Richmond upon Thames,,,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre,44 York Street",22.17,"191,365",15,51.4479,-0.3260
Southwark,Y,,Southwark London Borough Council,Labour,160 Tooley Street,11.14,"298,464",7,51.5035,-0.0804
Sutton,,,Sutton London Borough Council,Liberal Democrat,"Civic Offices,St Nicholas Way",16.93,"195,914",18,51.3618,-0.1945
Tower Hamlets,Y,,Tower Hamlets London Borough Council,Labour,"Town Hall,Mulberry Place,5 Clove Crescent",7.63,"272,890",8,51.5099,-0.0059
Waltham Forest,,,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall,Forest Road",14.99,"265,797",28,51.5908,-0.0134
Wandsworth,Y,,Wandsworth London Borough Council,Conservative,"The Town Hall,Wandsworth High Street",13.23,"310,516",5,51.4567,-0.1910
Westminster,Y,City,Westminster City Council,Conservative,"Westminster City Hall,64 Victoria Street",8.29,"226,841",2,51.4973,-0.1372
City of London,Y,Sui generis;City;Ceremonial county,Corporation of London;Inner Temple;Middle Temple,,Guildhall,1.12,"7,000",1,51.5155,-0.0922
