Neighborhood,Borough,Postcode,Post-town,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Harrow,Harrow,HA1,HARROW,51.5967688,-0.33727515543507,1,Coffee Shop,Convenience Store,Indian Restaurant,Sandwich Place,Clothing Store,Gas Station,Furniture / Home Store,French Restaurant,Food & Drink Shop,Fast Food Restaurant
Harrow on the Hill,Harrow,HA1,HARROW,51.5792702,-0.3366561,2,Coffee Shop,Clothing Store,Portuguese Restaurant,Gym,Pizza Place,Women's Store,Middle Eastern Restaurant,Bar,Bookstore,Department Store
Harrow Weald,Harrow,HA3,HARROW,51.6047861,-0.3404854,4,Indian Restaurant,Park,Thai Restaurant,Supermarket,Grocery Store,Beer Store,Deli / Bodega,Gas Station,Furniture / Home Store,French Restaurant
Hatch End,Harrow,HA5,PINNER,51.6084403,-0.3735477,2,Deli / Bodega,Chinese Restaurant,Burger Joint,Grocery Store,Furniture / Home Store,Italian Restaurant,Pizza Place,Pub,Greek Restaurant,Seafood Restaurant
North Harrow,Harrow,HA1,HARROW,51.5851618,-0.3631762,0,Gym / Fitness Center,Park,Ice Cream Shop,Food & Drink Shop,Fast Food Restaurant,Coffee Shop,Grocery Store,Gas Station,Furniture / Home Store,French Restaurant
North Harrow,Harrow,HA2,HARROW,51.5851618,-0.3631762,0,Gym / Fitness Center,Park,Ice Cream Shop,Food & Drink Shop,Fast Food Restaurant,Coffee Shop,Grocery Store,Gas Station,Furniture / Home Store,French Restaurant
Pinner,Harrow,HA5,PINNER,51.5968712,-0.3770142,2,Italian Restaurant,Coffee Shop,Wine Bar,Pizza Place,Café,Bus Stop,Sandwich Place,Pub,Bookstore,Supermarket
Rayners Lane,Harrow,HA5,PINNER,51.5767143,-0.3703002,4,Indian Restaurant,Grocery Store,Coffee Shop,Pizza Place,Sandwich Place,Pub,Café,Lawyer,Fast Food Restaurant,Betting Shop
South Harrow,Harrow,HA2,HARROW,51.5646517,-0.3522211,2,Furniture / Home Store,Fast Food Restaurant,Supermarket,Portuguese Restaurant,Indian Restaurant,Coffee Shop,Metro Station,Park,Pizza Place,Bakery
Stanmore,Harrow,HA7,STANMORE,51.6174205,-0.3095111,2,Coffee Shop,Gas Station,Italian Restaurant,Pizza Place,Platform,Portuguese Restaurant,Indian Restaurant,Sandwich Place,Supermarket,Middle Eastern Restaurant
Wealdstone,Harrow,HA3,HARROW,51.5936353,-0.3294758,0,Gym / Fitness Center,Gym,Sandwich Place,Indian Restaurant,Convenience Store,Platform,Park,Bus Stop,Department Store,Bar
West Harrow,Harrow,HA2,HARROW,51.5795852,-0.3530692,3,Café,Park,Indian Restaurant,Grocery Store,Women's Store,Gas Station,Furniture / Home Store,French Restaurant,Food & Drink Shop,Fast Food Restaurant
